id,height,lean angle,width,material,n_struts,E1,E2,E3,weight,cost,reliability,IoP E1,IoP E2,IoP E3,CAC E1,CAC E2,CAC E3,IoP,CAC,value
0.0,15.0,0.0,70.0,titanium,12.0,0.050560040915160614,0.03268511799139958,0.1399009846905351,18.48260169,10.035912948795918,0.193,0.07463647396688278,0.0029475043473192243,0.07823434060342031,1.3964910684232643,1.396491068423263,2.8681738802959327,0.05193943963920744,1.8870520057141533,0.027205492021350114
1.0,15.0,30.0,70.0,Inconel,14.0,0.05441735259500617,0.04640816897292749,0.10927225882397466,29.08782335451241,12.514338866156086,0.234,0.08498957159060698,0.015091548081049223,0.06822738727913355,1.3679356033529901,1.3679356033529884,1.857438531795133,0.05610283565026325,1.531103246167037,-0.06264855593377314
2.0,17.0,0.0,60.0,titanium,10.0,0.11033602415240708,0.03773613691247988,0.19050973081921863,18.555066213428574,9.935169383424492,0.329,0.18317528698646432,0.003254021479254101,0.14326666106588606,1.3527489257939675,1.3527489257939662,2.86634945323591,0.10989865651053483,1.8572824349412815,-0.088746357678605
3.0,17.0,30.0,60.0,Inconel,14.0,0.13427803450269488,0.039632145146981594,0.14020708583458563,28.747299883081165,12.459635917958275,0.274,0.23013528938403843,0.01532432096441168,0.12822041067168466,1.340432246319635,1.3404322463196352,1.895660122605324,0.12456000700671159,1.5255082050815314,-0.1855560389520825
