,height,lean angle,width,material,n_struts,E1,E2,E3,weight,cost,reliability,IoP E1,IoP E2,IoP E3,CAC E1,CAC E2,CAC E3,IoP,CAC,value
72,14.0,0.0,70,Titanium,20,-0.06081176559010894,1.1487820221917933,2.3333333333333335,16.49732,18.147052000000002,0.28,-0.06081176559010887,-0.20356266209439133,2.3333333333333335,1.5153982283813117,1.5153982283813139,2.1393025463332735,0.689652968549611,1.7233663343652996,-0.9718780744741794
73,14.0,0.0,70,Titanium,22,-0.09079209059461803,1.0801896133126154,2.666666666666666,18.147052000000002,19.961757200000005,0.26,-0.09079209059461793,-0.2091197045934665,2.6666666666666674,1.5512756627598325,1.5512756627598332,2.0951385420993627,0.788918290492861,1.7325632892063425,-1.2082728706004866
74,14.0,0.0,70,Titanium,24,-0.08667209779340865,1.0896158030139387,3.0,19.796784000000002,21.7764624,0.14,-0.08667209779340856,-0.20918579672175067,3.0,1.725848149659795,1.7258481496597955,2.209772790700392,0.9013807018282803,1.8871563633399944,-1.504446453733435
75,14.0,0.0,70,Titanium,26,-0.07684254928371011,1.112104965835674,3.333333333333334,21.446516000000003,23.59116760000001,0.24,-0.07684254928371001,-0.20765698268547275,3.333333333333334,1.5673777948732148,1.5673777948732157,2.2656008867456934,1.0162779337880503,1.8001188254973748,-1.8251004609396646
76,14.0,0.0,70,Titanium,28,-0.0684431495303536,1.1313220711250682,3.666666666666666,23.096248000000006,25.4058728,0.22,-0.06844314953035348,-0.20606578035670794,3.666666666666667,1.5937630073571898,1.5937630073571898,2.2382935377203297,1.1307192455932018,1.8086065174782364,-2.1514819492811865
77,14.0,0.0,70,Titanium,30,-0.09594738532250942,1.0683947417154929,4.0,24.74598,27.220578000000003,0.14,-0.09594738532250932,-0.2117931542066448,4.0,1.446118038540291,1.4461180385402903,1.8541171510358483,1.230753153490282,1.5821177427054767,-2.472683374014939
94,14.0,0.0,80,Inconel,12,0.09275182115678021,0.2153372391422321,0.3795864037663022,20.913984000000006,12.548390400000006,0.76,0.09275182115678048,0.014837297899577481,0.37958640376630237,1.9217583861259047,1.9217583861259004,3.9139940789340537,0.16239184094088677,2.585836950395286,0.5864049496641263
95,14.0,0.0,80,Inconel,14,0.09004569893786502,0.212327542848305,0.6026372553396504,24.39964800000001,14.639788800000003,0.7,0.09004569893786515,0.014761675985003187,0.6026372553396504,1.640714934358482,1.6407149343584837,2.9751134889417474,0.23581487675417293,2.0855144525529044,0.3070949629994616
96,14.0,0.0,80,Inconel,16,0.0626310441027666,0.18183749902110222,0.832720730292144,27.88531200000001,16.731187200000008,0.64,0.06263104410276675,0.012058728754323893,0.8327207302921441,1.5180656907070416,1.5180656907070416,2.6178482327090298,0.3024701677164116,1.884659871374371,0.10095438424497388
97,14.0,0.0,80,Inconel,18,0.030004969825198333,0.14555141624470916,1.0693265367902958,31.370976000000006,18.822585600000004,0.5,0.03000496982519843,0.009476397484425055,1.0693265367902958,1.4575992100345878,1.4575992100345887,2.452331617656748,0.36960263469997306,1.7891766792419748,-0.07148443127378629
98,14.0,0.0,80,Inconel,20,0.05155171771428356,0.16951528853942077,1.3106917991749458,34.85664,20.913984,0.64,0.05155171771428362,0.010257292719650353,1.3106917991749458,1.4541507564586793,1.454150756458678,2.553954513998383,0.4575002698696266,1.8207520089719136,-0.2815870434103924
99,14.0,0.0,80,Inconel,22,0.06004177130933952,0.17895776037667832,1.5245826338242927,38.342304000000006,23.0053824,0.7,0.060041771309339555,0.01156690994023498,1.524582633824292,1.4881499474769677,1.488149947476968,2.638438432672059,0.5320637716912889,1.8715794425419983,-0.47352935229424475
100,14.0,0.0,80,Inconel,24,0.047692887917033244,0.16522357338387386,1.7583862617370507,41.82796800000001,25.096780800000012,0.62,0.047692887917033494,0.011412898789758284,1.7583862617370507,1.4851800690899482,1.485180069089949,2.5267997915950318,0.6058306828146142,1.8323866432583096,-0.6887561759037636
101,14.0,0.0,80,Inconel,26,0.11470198288148488,0.23974978042812828,1.9769628113803321,45.313632000000005,27.188179200000004,0.78,0.11470198288148506,0.019587276667839926,1.9769628113803321,1.5872857177613655,1.5872857177613657,2.5171885239234255,0.7037506903098857,1.8972533198153856,-0.9601023110194173
102,14.0,0.0,80,Inconel,28,0.041928478900838596,0.15881251022809492,2.2246537199087895,48.79929600000002,29.279577600000007,0.58,0.041928478900838784,0.011152131367687234,2.2246537199087895,1.4860855033421547,1.486085503342155,2.5278921709822315,0.7592447767257718,1.8333543925555136,-1.1084301436455537
103,14.0,0.0,80,Inconel,30,0.05247780263067268,0.1705452621013079,2.447016779479827,52.28496000000001,31.370976000000006,0.62,0.0524778026306728,0.010672969077410473,2.447016779479827,1.5118200424421873,1.5118200424421866,2.4433338388514714,0.8367225170626368,1.8223246412452816,-1.3768094397596704
